id	filename	md5	size	state
44e4df37-e252-495f-b4ff-362134febe52	TCGA-02-0068-01Z-00-DX1.B1C4CAA6-6493-4AA1-9A48-B4336BB8D16A.svs	364e842f2a67e0d580200813305e6a29	865699956	released
93e484d0-d46c-40cf-94af-a74b7bc9b2d9	TCGA-02-0069-01Z-00-DX1.A8BFC1F6-4C3F-4543-86CA-90BBBC627564.svs	7b88f616d3ab894e5f231dcf8bf4c29d	2153725412	released
1c8c447d-27f7-4993-843f-33912c809520	TCGA-02-0070-01Z-00-DX1.5E0E6185-E40B-4BDB-A762-03399FBD7C12.svs	08d18cb6a376ddc22cb4b4bef5c0ab5b	2118362730	released
a548a76e-3eca-4cbc-9909-d818a970dd18	TCGA-02-0071-01Z-00-DX1.B9C1B58E-7A88-4C92-9E4C-2961A710F9A4.svs	73e5035845dfaed0ef2ef4da58db9d60	2172992382	released
75ec21af-2cfc-4a8e-a72a-d3b439c14ce8	TCGA-02-0074-01Z-00-DX1.41EA5863-D100-444D-AC5F-E2E5F5A22D20.svs	cbc8921163708d3952f794d8c4455715	3467210592	released
71b88c9a-e40b-41f8-ab1c-f45ddc638c7b	TCGA-02-0075-01Z-00-DX1.2BFAAE68-2B16-4F00-B412-074E7073EBD3.svs	3a7ba71841a609175e976ea84ad47a97	1370940676	released
0dcaf5ad-0f99-490f-93e3-67d5a7bc9067	TCGA-02-0079-01Z-00-DX1.846D3C54-C7BD-477F-A33A-D7641DD1CCEC.svs	91412ebd8a3e15765e126681a16a0fcf	2682962906	released
e57f16ea-b9b1-48ed-8997-65dd1dae86a7	TCGA-02-0085-01Z-00-DX1.ac1b3db0-1647-4303-9a95-d67fab6bf700.svs	4bfb9da708c0a2b0546edbc01be8f0d4	578018635	released
818dc501-92ba-485d-a324-0c644c7f48cd	TCGA-02-0086-01Z-00-DX1.E43AA83C-3FD5-4807-A272-8C5415A9226A.svs	d90067037963a1d27de758af2f940d58	2528996926	released
b822fb8f-b9f7-4519-9db7-f86535ff5b6b	TCGA-02-0099-01Z-00-DX1.E3BD2989-346F-4580-9E67-23BEEA35094E.svs	e51855ccaf0dda72a7f55a03005f10e7	2799729910	released
d0f617be-0f67-4f0f-8503-c67f56383523	TCGA-02-0115-01Z-00-DX1.9261988C-1002-4E99-8611-46C722FE49C5.svs	4476f657aa552fbd403b96fe8c29c494	2144418330	released
c16e4848-7d84-4f5e-beca-2ac26d2eebec	TCGA-02-0258-01Z-00-DX1.826e828e-c9d6-4154-8244-9601f8149699.svs	65150af688b84a6e303934053e3784f7	584904925	released
30778552-b67c-4627-8080-1d8ec5bd4e5b	TCGA-02-0266-01Z-00-DX1.fe847b40-3972-4189-9ba8-cd37a4eda01d.svs	eeb0dbb699ce016361c2ab0af89f8c68	550838257	released
47645c6e-420a-4b05-947c-5ef580ab9407	TCGA-02-0269-01Z-00-DX1.451ff3bd-58e9-4d80-9cdd-1f7ad772f2e2.svs	f0818f025cf73ab5a61f3409cc5fe768	538549023	released
77c07162-243d-4e81-9c95-d8a7847a4792	TCGA-02-0281-01Z-00-DX1.6db34ca2-a4f6-4efb-adfa-05bd51f9fda2.svs	ebe8b115b800d53b27bc4f90617bca74	542769765	released
4dec261f-8e9d-42f7-b29a-aec46ca59856	TCGA-02-0285-01Z-00-DX1.33f31de6-46d7-427d-8f19-66326789f7dd.svs	e206afda7a1bdf4f5ad244ed75e14586	421717573	released
fbc2c0bb-fd64-4e68-9fc3-fc9575132fcc	TCGA-02-0289-01Z-00-DX1.1d9920df-d98f-4655-be62-14efec6d35bb.svs	27e7c9642151fa3c91e2f56e6902bc6d	635139545	released
075201eb-e834-4479-b216-035f66ab7fa0	TCGA-02-0317-01Z-00-DX1.e9d98c2a-d388-4c03-9e00-c23e7c2a6faf.svs	b3c1e7c21213363e54d3c5d575f4dbf5	669965103	released
7b4519a1-7d6a-4c47-8563-a044f2448e55	TCGA-02-0321-01Z-00-DX1.3c57c27d-4a4f-45af-bf8b-2bde421a42fa.svs	c468d7a52da52734f643997fffaf1d74	388993637	released
aaa4f7c8-fa68-4680-b25a-e1b574834f84	TCGA-02-0325-01Z-00-DX1.a1fc7539-5c33-494a-b3b3-41576a164c95.svs	b80a427d8c05d42c38802476db23d892	520040757	released
