fold,c_index,selective_auc,mean_risk_std,n_patients,n_events
0,0.7742044304509165,0.8405170835462061,0.39549363562038964,175,89
1,0.7911111111111111,0.8451200899312564,0.34395134466035027,175,89
2,0.7482993197278912,0.7594728927101004,0.34835198249135696,175,89
3,0.7254267977237455,0.8224559075098326,0.3342129190479006,175,89
4,0.7755368371099775,0.8137367788534701,0.42683548535619464,175,89
