source,epoch,train_loss,val_loss,val_cindex,is_best_epoch
cv_fold_0_member_0,1,3.5176525115966797,0.7030319665159498,0.7570014485755674,False
cv_fold_0_member_0,2,3.2701149781545005,0.6706745164734976,0.7869386769676485,False
cv_fold_0_member_0,3,3.1376120249430337,0.6552886520113264,0.7859729599227426,True
cv_fold_0_member_0,4,3.091368476549784,0.6432714841195515,0.785610816030903,False
cv_fold_0_member_0,5,3.0099255641301474,0.6337522025619234,0.7839208112023177,False
cv_fold_0_member_0,6,2.973400632540385,0.6311331531831197,0.7841622404635442,False
cv_fold_0_member_0,7,2.938962777455648,0.6284260268722262,0.7798165137614679,False
cv_fold_0_member_0,8,2.876862049102783,0.6301069949354444,0.7784886528247223,False
cv_fold_0_member_1,1,3.425880710283915,0.6577120661735535,0.7615886045388701,False
cv_fold_0_member_1,2,3.1981091499328613,0.6339614510536193,0.7798165137614679,False
cv_fold_0_member_1,3,3.117136081059774,0.627699271270207,0.780420086914534,False
cv_fold_0_member_1,4,3.036803046862284,0.6219781122037342,0.7767986479961372,False
cv_fold_0_member_1,5,3.000065247217814,0.6116206301110131,0.7774022211492033,False
cv_fold_0_member_1,6,2.9143211046854653,0.610539014850344,0.779333655239015,False
cv_fold_0_member_1,7,2.9241970777511597,0.609024610051087,0.7810236600676002,True
cv_fold_0_member_1,8,2.859501282374064,0.6104096159338951,0.7798165137614679,False
cv_fold_0_member_1,9,2.7875949939092,0.6144208182181631,0.7794543698696282,False
cv_fold_0_member_1,10,2.7920212348302207,0.6154882824846677,0.7783679381941091,False
cv_fold_0_member_1,11,2.7345083753267923,0.6165169164538383,0.779333655239015,False
cv_fold_0_member_1,12,2.7694444259007773,0.6189759503517832,0.7767986479961372,False
cv_fold_0_member_2,1,3.5778436263402305,0.7258156750883374,0.754707870593916,False
cv_fold_0_member_2,2,3.2871259450912476,0.6936960637569427,0.7850072428778367,False
cv_fold_0_member_2,3,3.201676328976949,0.6722644865512848,0.7895943988411396,False
cv_fold_0_member_2,4,3.1044976313908896,0.6501580911023276,0.792491549975857,True
cv_fold_0_member_2,5,3.058925191561381,0.6331298496041979,0.7901979719942057,False
cv_fold_0_member_2,6,2.9789607922236123,0.6244377664157322,0.7854901014002897,False
cv_fold_0_member_2,7,2.956723173459371,0.623474502989224,0.7853693867696765,False
cv_fold_0_member_2,8,2.9114952087402344,0.6226737695080894,0.7829550941574118,False
cv_fold_0_member_2,9,2.8775850534439087,0.6237543489251818,0.7834379526798648,False
cv_fold_0_member_3,1,3.5585877100626626,0.7740439849240439,0.7037662964751328,False
cv_fold_0_member_3,2,3.251046339670817,0.7327730161803109,0.7508450024142926,False
cv_fold_0_member_3,3,3.1730852921803794,0.7061740526131222,0.7685900531144375,False
cv_fold_0_member_3,4,3.08106791973114,0.6868408739566803,0.773056494447127,False
cv_fold_0_member_3,5,3.0568320751190186,0.6731925036226,0.7723322066634476,False
cv_fold_0_member_3,6,3.006864150365194,0.6645292231014797,0.7706422018348624,False
cv_fold_0_member_3,7,2.9264569679896035,0.6631389166627611,0.7742636407532593,False
cv_fold_0_member_3,8,2.8745145400365195,0.6622442373207638,0.7740222114920329,False
cv_fold_0_member_3,9,2.87111488978068,0.661512439591544,0.7732979237083535,False
cv_fold_0_member_3,10,2.8080344994862876,0.6595157129423959,0.7736600676001931,False
cv_fold_0_member_3,11,2.7822946310043335,0.6574084596974509,0.7748672139063254,True
cv_fold_0_member_3,12,2.7358227570851645,0.6612969296319144,0.7725736359246741,False
cv_fold_0_member_3,13,2.6940532128016152,0.6581833226340158,0.7739014968614196,False
cv_fold_0_member_3,14,2.676081975301107,0.6567355539117541,0.7748672139063254,False
cv_fold_0_member_3,15,2.6613195339838662,0.6559515135628836,0.7737807822308064,False
