fold,c_index,selective_auc,mean_risk_std,n_patients,n_events
0,0.755538063645564,0.7864163871033897,0.010755574727164848,175,89
1,0.7755555555555556,0.8411741785966402,0.010743309554776976,175,89
2,0.7586206896551724,0.770964255945724,0.0094370820160423,175,89
3,0.727366787377134,0.7861189594726246,0.009295088269614747,175,89
4,0.7704354015897497,0.8222054966929441,0.010091697877006872,175,89
