method,pooled C,"rho(unc, risk)","rho(unc, |risk-med|)",var(unc) expl. by risk,area: uncertainty,area: best free,best free score,gain over free,area: residualised
MC-dropout,0.758338181800981,0.3394986644155247,-0.13791973705644114,0.11845254884051781,0.7860774120082213,0.7664321110919526,|risk-med| (extremes),0.019645300916268704,0.7633920188423711
Deep ensembles,0.7651165760831004,0.07798399936471676,-0.027765082055415922,-0.0282276923424305,0.7863360900921416,0.7877181667410978,|risk-med| (extremes),-0.0013820766489562875,0.7817256747658584
SNGP,0.7627703907628414,0.4607749543228772,-0.2748710163859475,0.6420663875607064,0.8092679377405835,0.7188310337656642,risk (low first),0.09043690397491932,0.7689657531079317
